date,ticker,close_price
2024-03-05,BBOZ,2.94
2024-03-05,BGBL,62.76
2024-03-05,ETHI,14.92
2024-03-05,GEAR,27.92
2024-03-05,GGOV,14.18
2024-03-05,CYBR,12.18
2024-03-05,NDQ,42.38
2024-03-06,A123,129.37
2024-03-06,AAA,50.12
2024-03-06,BBOZ,2.93
2024-03-06,BGBL,62.33
2024-03-06,ETHI,14.85
2024-03-06,GEAR,28.00
2024-03-06,GGOV,14.34
2024-03-06,CYBR,12.23
2024-03-06,NDQ,41.77
2024-03-07,A123,130.36
2024-03-07,AAA,50.12
2024-03-07,BBOZ,2.87
2024-03-07,BGBL,61.85
2024-03-07,ETHI,14.78
2024-03-07,GEAR,28.46
2024-03-07,GGOV,14.46
2024-03-07,CYBR,11.86
2024-03-07,NDQ,41.35
2024-03-08,A123,131.72
2024-03-08,AAA,50.12
2024-03-08,BBOZ,2.79
2024-03-08,BGBL,62.27
2024-03-08,ETHI,14.86
2024-03-08,GEAR,29.08
2024-03-08,GGOV,14.48
2024-03-08,CYBR,11.98
2024-03-08,NDQ,41.79
2024-03-11,A123,129.41
2024-03-11,AAA,50.15
2024-03-11,BBOZ,2.93
2024-03-11,BGBL,61.88
2024-03-11,ETHI,14.69
2024-03-11,GEAR,27.99
2024-03-11,GGOV,14.48
2024-03-11,CYBR,11.86
2024-03-11,NDQ,41.19
2024-03-12,A123,129.46
2024-03-12,AAA,50.14
2024-03-12,BBOZ,2.92
2024-03-12,BGBL,62.04
2024-03-12,ETHI,14.74
2024-03-12,GEAR,28.03
2024-03-12,GGOV,14.46
2024-03-12,CYBR,12.00
2024-03-12,NDQ,41.41
2024-03-13,A123,129.80
2024-03-13,AAA,50.16
2024-03-13,BBOZ,2.90
2024-03-13,BGBL,62.44
2024-03-13,ETHI,14.89
2024-03-13,GEAR,28.19
2024-03-13,GGOV,14.30
2024-03-13,CYBR,11.98
2024-03-13,NDQ,41.77
2024-03-14,A123,129.56
2024-03-14,AAA,50.16
2024-03-14,BBOZ,2.92
2024-03-14,BGBL,62.48
2024-03-14,ETHI,14.85
2024-03-14,GEAR,28.05
2024-03-14,GGOV,14.22
2024-03-14,CYBR,11.99
2024-03-14,NDQ,41.56
2024-03-15,A123,128.76
2024-03-15,AAA,50.17
2024-03-15,BBOZ,2.97
2024-03-15,BGBL,62.66
2024-03-15,ETHI,14.78
2024-03-15,GEAR,27.67
2024-03-15,GGOV,14.05
2024-03-15,CYBR,11.96
2024-03-15,NDQ,41.52
2024-03-18,A123,129.01
2024-03-18,AAA,50.19
2024-03-18,BBOZ,2.95
2024-03-18,BGBL,62.55
2024-03-18,ETHI,14.79
